ID,Drift ratio at 0.8Vmax1 [%],References,First Author,Col.Name,Data File,Section depth (h) [in.],Section width (b) [in.],d1 [in.],d2 [in.],Clear Cover cc [in.],lc [in.],a [in.],a/d1,Longi. bars along first face (perp.),Bar dia. [in.],Longi. bars along second face (perp.),Bar dia. [in.],Longi. bars in middle layers(perp.),Longi. bars in middle layers (parl.),Bar dia. [in.],fy (longi. reinf.) [psi],pL (longi. reinf.),Trans. reinf. legs perp. to load,Trans. reinf. legs parl. to load,Trans. bar dia. [in.],Spacing of trans. reinf. (s) [in.],fy (trans. reinf.) [psi],pt (trans. reinf. volumetric ratio),pv (trans. reinf. ratio),s/d1 (primary),s/d2 (secondary),Seismic hoops,f'c [psi],Axial load(P) [kips],Axial load ratio,Spliced longi. bars,Splice length [in.],Splice height [in.],Test configuration,Number of loading directions,Maximum lateral load (primary) (Vmax1) [kips],Drift ratio at Vmax1 [%],Drift ratio at 0.8Vmax1 [%],Drift ratio at 0.25Vmax [%],Drift ratio at axial failure (primary) [%],Lateral load at axial failure (primary) [kips],Vp1 (primary) [kips],Vo1 (primary) [kips],Vp1/Vo1,Maximum lateral load (secondary) (Vmax2) [kips],Drift ratio at Vmax2 [%],Drift ratio at 0.8Vmax2 [%],Drift ratio at 0.25Vmax2 [%],Drift ratio at axial failure (secondary) [%],Lateral load at axial failure (secondary) [kips],Vp2 (secondary) [kips],Vo2 (secondary) [kips],Vp2/Vo2,
[],"""unit"":""%"",""desc"":""Drift ratio at Vmax1 = abs(lateral drift \/ lc *100)"",""fmt"":""%.2f""","""desc"":""Document or paper reference"",""truncate"":""truncate"",""width"":""200""",[],"""desc"":""Name of column as per reference""","""raw"":""SUBSTRING_INDEX(rectangular.DataFile, \""\/\"", -1)"",""hide"":""hide""","""desc"":""History of laterals loads and displacements at loading points"",""width"":""100"",""type"":""tool"",""name"":""inDEED"",""link_format"":""\/tools\/indeed\/invoke?params=file:{p}"",""param"":""rectangular.DataFile"",""link_label"":""rectangular.DataFile_label"",""dl"":""rectangular.DataFile""","""unit"":""in."",""desc"":""dimension in direction of primary load"",""fmt"":""%.2f""","""unit"":""in."",""desc"":""dimension in direction perpendicular to primary load"",""fmt"":""%.2f""","""unit"":""in."",""desc"":""Effective depth in primary direction (dimension from compression face to centroid of outermost layer of tension steel)"",""fmt"":""%.2f""","""unit"":""in."",""desc"":""Effective depth in secondary direction (dimension from compression face to centroid of outermost layer of tension steel)"",""fmt"":""%.2f""","""unit"":""in."",""desc"":""Clear cover to out of transverse reinf."",""fmt"":""%.2f""","""unit"":""in."",""desc"":""Clear length of column"",""fmt"":""%.2f""","""unit"":""in."",""desc"":""Shear span"",""fmt"":""%.2f""","""desc"":""Shear span to depth ratio"",""fmt"":""%.2f""","""desc"":""Longitudinal bars along first face perpendicular to primary load""","""unit"":""in."",""fmt"":""%.2f""","""desc"":""Longitudinal bars along second face perpendicular to primary load""","""unit"":""in."",""desc"":""Bar diameter of bars along faces perpendicular to primary load"",""fmt"":""%.2f""","""desc"":""Number of middle layers perpendicular to primary load (usually 0 or 2 unless double layers are used per face )""","""desc"":""Number of middle layers parallel to primary load (Not including bars along faces perpendicular to primary load)""","""unit"":""in."",""desc"":""Bar diameter for middle layer bars"",""fmt"":""%.2f""","""unit"":""psi"",""desc"":""Yield strength of longitudinal bars"",""fmt"":""%.2f""","""desc"":""Longitudinal reinforcement ratio=Area of longitudinal reinforcement\/(b*h)"",""fmt"":""%.4f""","""desc"":""Transverse reinforcement legs perpendicular to primary load"",""fmt"":""%.3f""","""desc"":""Transverse reinforcement legs parallel to primary load"",""fmt"":""%.3f""","""unit"":""in."",""fmt"":""%.2f""","""unit"":""in."",""fmt"":""%.2f""","""unit"":""psi"",""fmt"":""%.2f""","""desc"":""Transverse reinforcement volumetric ratio = (volume of transverse reinforcement spaced at s) \/ (area of core to out of ties * s)"",""fmt"":""%.4f""","""desc"":""Transverse reinforcement ratio = (area of transverse reinforcement in direction of primary load spaced at s) \/ (b * s)"",""fmt"":""%.4f""","""fmt"":""%.2f""","""fmt"":""%.2f""","""desc"":""= 0 if unknown, 1 if transverse reinforcements are conforming to ACI 318-08 seismic hoop specifications, 2 otherwise (note that only hoop shape is considered, spacing is not considered in the evaluation)""","""unit"":""psi"",""desc"":""Reported concrete compressive strength at 28 days (f'c)"",""fmt"":""%.2f""","""unit"":""kips"",""desc"":""Positive in compression"",""fmt"":""%.2f""","""desc"":""=P\/(bh)"",""fmt"":""%.2f""","""desc"":""= 0 if bars are not spliced, 1 if longitudinal bars are spliced""","""unit"":""in."",""fmt"":""%.2f""","""unit"":""in."",""desc"":""height of start of splice measured from bottom of column"",""fmt"":""%.2f""","""desc"":""See Siva. Thesis table 3.1 for more info(available on the resource page under tag \""Docs and Attachments\"")""","""desc"":""= 1 if uni-directional lateral loading is applied, 2 if bi-directional loading is applied""","""unit"":""kips"",""fmt"":""%.2f""","""unit"":""%"",""desc"":""Drift ratio at Vmax1 = abs(lateral drift \/ lc *100)"",""fmt"":""%.2f""","""unit"":""%"",""desc"":""Drift ratio when lateral load capacity drops to 0.8Vmax1 = abs(lateral drift \/ lc *100); if such a point is not reached during testing a zero value is placed"",""fmt"":""%.2f""","""unit"":""%"",""desc"":""Drift ratio when lateral load capacity drops to 0.25Vmax1 = abs(lateral drift \/ lc *100); if such a point is not reached during testing a zero value is placed"",""fmt"":""%.2f""","""unit"":""%"",""desc"":""Drift ratio at axial failure in direction of primary load; if such a point is not reached during testing a zero value is placed"",""fmt"":""%.2f""","""unit"":""kips"",""desc"":""Lateral load at axial failure in direction of primary load"",""fmt"":""%.2f""","""unit"":""kips"",""desc"":""Plastic shear capcity Vp in primary load direction, see Siva. Thesis page 23 for more info (available on the resources page under tag \""Docs and Attachements)"",""fmt"":""%.2f""","""unit"":""kips"",""desc"":""Vo1=ACI 369R-11 shear capcity in primary load direction with k=1 (low deformations), with Vs fully effective for s\/d<0.75, Vs=0 for s\/d>1.0 and interpolated in between"",""fmt"":""%.2f""","""fmt"":""%.2f""","""unit"":""kips"",""fmt"":""%.2f""","""unit"":""%"",""desc"":""Drift ratio at Vmax2 = abs(lateral drift \/ lc *100)"",""fmt"":""%.2f""","""unit"":""%"",""desc"":""Drift ratio when lateral load capacity drops to 0.8Vmax2 = abs(lateral drift \/ lc *100); if such a point is not reached during testing a zero value is placed"",""fmt"":""%.2f""","""unit"":""%"",""desc"":""Drift ratio when lateral load capacity drops to 0.25Vmax2 = abs(lateral drift \/ lc *100); if such a point is not reached during testing a zero value is placed"",""fmt"":""%.2f""","""unit"":""%"",""desc"":""Drift ratio at axial failure in direction of secondary load; if such a point is not reached during testing a zero value is placed"",""fmt"":""%.2f""","""unit"":""kips"",""desc"":""Lateral load at axial failure in direction of secondary load"",""fmt"":""%.2f""","""unit"":""kips"",""desc"":""Plastic shear capcity Vp in secondary load direction, see Siva. Thesis page 23 for more info (available on the resources page under tag \""Docs and Attachements)"",""fmt"":""%.2f""","""unit"":""kips"",""desc"":""Vo2=ACI 369R-11 shear capcity in primary load direction with k=1 (low deformations), with Vs fully effective for s\/d<0.75, Vs=0 for s\/d>1.0 and interpolated in between"",""fmt"":""%.2f""","""fmt"":""%.2f"""
DATASTART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.57099,"Nagasaka;T. (1982). ""Effectiveness of Steel Fiber as Web Reinforcement in Reinforced Concrete Columns."" Transactions of the Japan Concrete Insitute 4: 493-500.",Nagasaka,HPRC10-63,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/1.csv,7.874015748,7.874015748,6.93503937,6.94,0.47,23.62204724,11.81102362,1.703093954,2,0.5,2,0.5,0,0,0.5,53795,0.012667687,2,2,0.216535433,1.377952756,49880,0.008,0.006788084,0.198694295,0.19,2,3132,33.075,0.170327802,0,0,0,3,1,19.6742712,0.865033333,1.57099,0,0,0,19.21078864,34.22,0.561332431,0,0,0,0,0,0,0,0,0,
2,2.255212121,"Imai;H. Y.;Y. (1986). ""A Study on Causes of Earthquake Damage of Izumi High School Due to Miyagi-Ken-Oki Earthquake in 1978."" Transactions of the Japan Concrete Insitute 8: 405-418.",Imai,UNIT_1,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/2.csv,19.68503937,15.7480315,17.44094488,13.5,1.46,64.96062992,32.48031496,1.862302483,5,0.866141732,5,0.866141732,2,2,0.866,46110,0.02660929,2,2,0.354330709,3.937007874,48720,0.004,0.003180863,0.225733634,0.26,0,3929.5,88.2,0.072405029,0,0,0,3,1,105.950488,0.850145455,2.255212121,0,0,0,111.0313399,108.95,1.019148296,0,0,0,0,0,0,0,0,0,
3,1.0715625,"Zhou;X. S.;Toshio; Jiang;Weishan; Ono;Arata; Shimizu;Yasushi (1987). ""Behavior of Reinforced Concrete Short Column Under High Axial Load."" Transactions of the Japan Concrete Insitute 9: 541-548.",Zhou,No.104-08,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/3.csv,6.299212598,6.299212598,5.423228346,5.42,0.49,12.5984252,6.299212598,1.161524501,3,0.374015748,3,0.374015748,2,1,0.374,49445,0.022150683,2,2,0.196850394,1.57480315,81055,0.007,0.006135923,0.290381125,0.27,2,2871,91.2688,0.801155126,0,0,0,3,1,18.6352456,0.9404375,1.0715625,2.0589875,0,0,14.15332461,42.08,0.336339442,0,0,0,0,0,0,0,0,0,
4,2.041525,"Zhou;X. S.;Toshio; Jiang;Weishan; Ono;Arata; Shimizu;Yasushi (1987). ""Behavior of Reinforced Concrete Short Column Under High Axial Load."" Transactions of the Japan Concrete Insitute 9: 541-548.",Zhou,No.114-08,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/4.csv,6.299212598,6.299212598,5.423228346,5.42,0.49,12.5984252,6.299212598,1.161524501,3,0.374015748,3,0.374015748,2,1,0.374,49445,0.022150683,2,2,0.196850394,1.57480315,81055,0.007,0.006135923,0.290381125,0.27,2,2871,91.2688,0.801155126,0,0,0,3,1,20.5258136,1.0575,2.041525,2.041525,0,0,14.15332461,42.08,0.336339442,0,0,0,0,0,0,0,0,0,
5,3.95605,"Zhou;X. S.;Toshio; Jiang;Weishan; Ono;Arata; Shimizu;Yasushi (1987). ""Behavior of Reinforced Concrete Short Column Under High Axial Load."" Transactions of the Japan Concrete Insitute 9: 541-548.",Zhou,No.124-08,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/5.csv,6.299212598,6.299212598,5.423228346,5.42,0.49,12.5984252,6.299212598,1.161524501,3,0.374015748,3,0.374015748,2,1,0.374,49445,0.022150683,3.414,3.414,0.196850394,1.57480315,81055,0.018,0.010474021,0.290381125,0.27,2,2871,91.2688,0.801155126,0,0,0,3,1,25.84076,1.837875,3.95605,0,0,0,14.15332461,54.09,0.261649445,0,0,0,0,0,0,0,0,0,
6,1.46812,"Arakawa;T. A.;Yasuyuki; Mizoguchi;Mitsuo; Yoshida;Minoru (1989). ""Shear Resisting Behavior of Short Reinforced Concrete Columns Under Biaxial Bending-Shear."" Transactions of the Japan Concrete Insitute 11: 317-324.",Arakawa,OA2,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/6.csv,7.086614173,7.086614173,6.285433071,6.29,0.39,17.71653543,8.858267717,1.409332916,3,0.5,3,0.5,2,1,0.5,49300,0.031278239,2,2,0.157480315,2.531496063,36105,0.002,0.002171483,0.402756029,0.38,2,4611,42.75,0.184613485,0,0,0,3,1,29.354384,0.852533333,1.46812,0,0,0,33.61582342,23.91,1.406134312,0,0,0,0,0,0,0,0,0,
7,1.030111111,"Arakawa;T. A.;Yasuyuki; Mizoguchi;Mitsuo; Yoshida;Minoru (1989). ""Shear Resisting Behavior of Short Reinforced Concrete Columns Under Biaxial Bending-Shear."" Transactions of the Japan Concrete Insitute 11: 317-324.",Arakawa,OA5,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/7.csv,7.086614173,7.086614173,6.285433071,6.29,0.39,17.71653543,8.858267717,1.409332916,3,0.5,3,0.5,2,1,0.5,49300,0.031278239,2,2,0.157480315,2.531496063,36105,0.002,0.002171483,0.402756029,0.38,2,4785,107.1,0.445686985,0,0,0,3,1,30.114208,0.338542222,1.030111111,0,0,0,35.79900953,32.81,1.091237979,0,0,0,0,0,0,0,0,0,
8,1.309663373,Umehara;H. a. J.;J.O. (1982). Shear Strength and Deterioration of Short Reinforced Concrete Columns Under Cyclic Deformations. Austin;University of Texas;Austin: 256.,Umehara,CUS,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/8.csv,16.14173228,9.05511811,14.54724409,7.46,0.98,35.826,17.913,1.231367253,2,0.748031496,2,0.748031496,2,3,0.748,63945,0.030066674,2,4,0.236220472,3.503937008,60030,0.003,0.005525029,0.240866035,0.41,2,5060.5,120.15,0.162437421,0,0,0,3,1,72.53172,1.103056725,1.309663373,3.359292134,0,0,111.13513,113.02,0.983323093,0,0,0,0,0,0,0,0,0,
9,1.74538045,Umehara;H. a. J.;J.O. (1982). Shear Strength and Deterioration of Short Reinforced Concrete Columns Under Cyclic Deformations. Austin;University of Texas;Austin: 256.,Umehara,CUW,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/9.csv,9.05511811,16.14173228,7.460629921,14.55,0.98,35.826,17.913,2.401003694,2,0.748031496,2,0.748031496,2,3,0.748,63945,0.030066674,4,2,0.236220472,3.503937008,60030,0.003,0.001549703,0.469656992,0.23,2,5060.5,120.15,0.162437421,0,0,0,3,1,59.160616,1.374644992,1.74538045,2.618210238,0,0,54.31410534,46.76,1.161558997,0,0,0,0,0,0,0,0,0,
10,1.495282756,Bett;B. J. K.;Richard E.; Jirsa;James O. (1985). Behavior of Strengthened and Repaired Reinforced Concrete Columns Under Cyclic Deformations. Austin;Texas;University of Texas;Austin: 86.,Bett,UNIT_1_1,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/10.csv,12.00787402,12.00787402,10.41338583,10.41,0.98,35.826,17.913,1.720189792,3,0.748031496,3,0.748031496,2,1,0.748,66990,0.024383014,3.414,3.414,0.236220472,8.267716535,60030,0.003,0.001507082,0.793950851,0.73,2,4335.5,64.8,0.103658178,0,0,0,3,1,48.019528,0.928107902,1.495282756,0,0,0,70.64124573,48.06,1.469968588,0,0,0,0,0,0,0,0,0,
