"ID (From ACI 369 databases). The first 104 entries are circular columns, the rest (237) are rectangular columns",Section depth [in.],Section width [in.],a [in.],a/d,Bar dia. [in.],fy (longi. reinf.) [psi],pL (longi. reinf.),Spacing of trans. reinf. (s) [in.],fy (trans. reinf.) [psi],pv (trans. reinf. ratio),s/d,f'c [psi],Axial load(P) [kips],Axial load ratio,s/lbd,a/s,pl * fyl,pt * fyt,A [in],I,Drift ratio at 0.8Vmax1 [%],Col.Name,References
DATASTART,,,,,,,,,,,,,,,,,,,,,,,
1,15.748,15.748,31.496,2.5,0.63,63220,0.032,6.496062992,45820,0.002379999,0.515626031,4437,0,0,10.3112111,4.848475152,2023.04,109.0515542,194.778355,3019.058464,2.5406,UNIT4,"Ang Beng Ghee; Priestley;M. J. N. a. P.;T. (1985). ""Seismic Shear Strength of Circular Reinforced Concrete Columns."" ACI Structural Journal 86(1): 45-59."
2,15.748,15.748,23.622,1.875,0.63,63220,0.032,2.362204724,47560,0.002356199,0.187500375,4364.5,0,0,3.749531308,9.999980002,2023.04,112.0608244,194.778355,3019.058464,1.6984,UNIT6,"Ang Beng Ghee; Priestley;M. J. N. a. P.;T. (1985). ""Seismic Shear Strength of Circular Reinforced Concrete Columns."" ACI Structural Journal 86(1): 45-59."
4,15.748,15.748,31.496,2.5,0.63,63220,0.032,2.362204724,47270,0.002356199,0.187500375,4843,94.416,0.100089941,3.749531308,13.33330667,2023.04,111.3775267,194.778355,3019.058464,1.5459,UNIT16,"Ang Beng Ghee; Priestley;M. J. N. a. P.;T. (1985). ""Seismic Shear Strength of Circular Reinforced Concrete Columns."" ACI Structural Journal 86(1): 45-59."
5,15.748,15.748,31.496,2.5,0.63,63220,0.032,2.362204724,47270,0.002356199,0.187500375,5075,98.912,0.100062706,3.749531308,13.33330667,2023.04,111.3775267,194.778355,3019.058464,1.9247,UNIT18,"Ang Beng Ghee; Priestley;M. J. N. a. P.;T. (1985). ""Seismic Shear Strength of Circular Reinforced Concrete Columns."" ACI Structural Journal 86(1): 45-59."
6,15.748,15.748,23.622,1.875,0.63,63220,0.032,3.149606299,47270,0.001767149,0.2500005,4988,97.114,0.099957343,4.999375078,7.499985001,2023.04,83.53313323,194.778355,3019.058464,1.7179,UNIT19,"Ang Beng Ghee; Priestley;M. J. N. a. P.;T. (1985). ""Seismic Shear Strength of Circular Reinforced Concrete Columns."" ACI Structural Journal 86(1): 45-59."
7,15.748,15.748,27.559,2.1875,0.63,69890,0.032,3.149606299,47270,0.001767149,0.2500005,5321.5,181.414,0.175023369,4.999375078,8.749982501,2236.48,83.53313323,194.778355,3019.058464,1.9427,UNIT20,"Ang Beng Ghee; Priestley;M. J. N. a. P.;T. (1985). ""Seismic Shear Strength of Circular Reinforced Concrete Columns."" ACI Structural Journal 86(1): 45-59."
9,15.748,15.748,31.496,2.5,0.63,63220,0.032,8.661417323,44950,0.001784999,0.687501375,4480.5,0,0,13.74828147,3.636356364,2023.04,80.23570505,194.778355,3019.058464,1.6364,UNIT22,"Ang Beng Ghee; Priestley;M. J. N. a. P.;T. (1985). ""Seismic Shear Strength of Circular Reinforced Concrete Columns."" ACI Structural Journal 86(1): 45-59."
10,10.827,10.827,11.811,1.363604877,0.63,53070,0.0385,3.937007874,53360,0.002056272,0.454535868,4176,0,0,6.249218848,2.999994,2043.195,109.7226739,92.06745854,674.5318265,2.0079,UNIT1,"Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312."
11,10.827,10.827,11.811,1.363604877,0.63,53070,0.0385,1.968503937,53360,0.004112544,0.227267934,4248.5,0,0,3.124609424,5.999988,2043.195,219.4453478,92.06745854,674.5318265,2.6433,UNIT2,"Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312."
