a,a/d,lbd,fy,pl,s,pt,s/d,AL,ALR,Vmax,pt/Vmax,Column ID,DC,Conc. Cover,fyt,f'c,h,b
11.811,1.70309,0.5,53795,0.0126677,1.37795,0.00678808,0.198694,33.075,0.170328,19.6743,17.20973201,1,1.57099,0.47,49880,3132,7.874015748,7.874015748
32.4803,1.8623,0.866142,46110,0.0266093,3.93701,0.00318086,0.225734,88.2,0.072405,105.95,1.462685221,1,2.255212121,1.46,48720,3929.5,19.68503937,15.7480315
6.29921,1.16152,0.374016,49445,0.0221507,1.5748,0.00613592,0.290381,91.2688,0.801155,18.6352,26.68857837,1,1.0715625,0.49,81055,2871,6.299212598,6.299212598
6.29921,1.16152,0.374016,49445,0.0221507,1.5748,0.00613592,0.290381,91.2688,0.801155,20.5258,24.23033429,1,2.041525,0.49,81055,2871,6.299212598,6.299212598
6.29921,1.16152,0.374016,49445,0.0221507,1.5748,0.010474,0.290381,91.2688,0.801155,25.8408,32.85386172,1,3.95605,0.49,81055,2871,6.299212598,6.299212598
8.85827,1.40933,0.5,49300,0.0312782,2.5315,0.00217148,0.402756,42.75,0.184613,29.3544,2.670852935,1,1.46812,0.39,36105,4611,7.086614173,7.086614173
8.85827,1.40933,0.5,49300,0.0312782,2.5315,0.00217148,0.402756,107.1,0.445687,30.1142,2.603465654,1,1.030111111,0.39,36105,4785,7.086614173,7.086614173
17.913,1.23137,0.748031,63945,0.0300667,3.50394,0.00552503,0.240866,120.15,0.162437,72.5317,4.572725455,1,1.309663373,0.98,60030,5060.5,16.14173228,9.05511811
17.913,2.401,0.748031,63945,0.0300667,3.50394,0.0015497,0.469657,120.15,0.162437,59.1606,1.572473758,1,1.74538045,0.98,60030,5060.5,9.05511811,16.14173228
17.913,1.72019,0.748031,66990,0.024383,8.26772,0.00150708,0.793951,64.8,0.103658,48.0195,1.884026539,1,1.495282756,0.98,60030,4335.5,12.00787402,12.00787402
48,3.06949,0.984252,62930,0.0187866,16,0.000953712,1.02316,0,0,101.191,0.546642448,1,2.283958333,1.5,58000,3175.5,18,36
48,1.42697,0.984252,62930,0.0187866,16,0.000762969,0.475655,0,0,144.492,0.306260568,1,0.887916667,1.5,58000,2320,36,18
39.3701,2.22467,0.511811,46835,0.0212372,10,0.00200369,0.565066,0,0,88.3341,0.849889872,1,1.980946,1.38,37468,4799.5,19.68503937,19.68503937
39.3701,2.22467,0.511811,46835,0.0212372,10,0.00200369,0.565066,0,0,95.7064,0.784422535,1,1.669288,1.38,37468,4599.4,19.68503937,19.68503937
48,3.31034,0.75,68005,0.0253107,5,0.000831058,0.344828,114.142,0.0594367,141.1,0.276841852,1,0.998541667,0.87,47003.2,5001.05,16,24
48,3.31034,0.75,68005,0.0253107,5,0.000831058,0.344828,114.142,0.0632317,169.7,0.230184946,1,0.653541667,0.87,47003.2,4700.9,16,24
31.4961,3.07698,0.629921,55114.5,0.0268083,9.84252,0.000753982,0.961557,20.25,0.0307655,30.555,1.419055568,1,1.50495,1.02,57507,4718.3,11.81102362,11.81102362
6.88976,1.1682,0.394,56260,0.0308216,4.33071,0.00293759,0.734297,17.9156,0.100111,21.7427,6.112238664,1,0.483325714,0.56,45240,3770,6.88976378,6.88976378
6.88976,1.1682,0.394,49880,0.0308216,4.33071,0.00293759,0.734297,22.5315,0.100107,21.5156,6.17675415,1,0.42672,0.56,45240,4741.5,6.88976378,6.88976378
6.88976,1.1682,0.512,49880,0.0693971,0.787402,0.0161568,0.133508,28.5975,0.100116,36.9122,20.43663049,1,1.272902857,0.5,46690,6017.5,6.88976378,6.88976378
23.622,2.35302,0.63,58290,0.0268151,3.937,0.00188145,0.392171,124.224,0.200044,53.278,2.007237847,1,0.999068665,1.22,56840,4451.5,11.811,11.811
23.622,2.35302,0.63,58290,0.0268151,7.874,0.000940723,0.784341,124.224,0.200044,51.547,1.037319249,1,0.789518246,1.22,56840,4451.5,11.811,11.811
23.622,2.35302,0.63,58290,0.0268151,3.937,0.00188145,0.392171,186.337,0.300068,58.673,1.822671723,1,0.810684955,1.22,56840,4451.5,11.811,11.811
17.7165,1.7308,0.5,49300,0.0168903,6.3,0.000819266,0.615475,81.94,0.300069,36.193,1.926666084,1,0.572912257,1.13,85115,1957.5,11.811,11.811
17.7165,1.7308,0.5,49300,0.0168903,2.953,0.00281481,0.288492,81.94,0.300069,38.486,6.225187163,1,1.332091553,1.08,85115,1957.5,11.811,11.811
17.7165,1.7308,0.5,49300,0.0168903,2.953,0.00281481,0.288492,109.25,0.30006,52.85,2.965536817,1,1.044224311,1.08,55680,2610,11.811,11.811
17.7165,1.7308,0.5,49300,0.0168903,2.953,0.00281481,0.288492,72.835,0.200044,48.669,3.220296715,1,1.518358592,1.08,55680,2610,11.811,11.811
11.811,1.15387,0.5,64815,0.0168903,1.969,0.00422151,0.19236,121.392,0.216655,73.532,3.313160829,1,1.168402337,1.08,57710,4016.5,11.811,11.811
17.7165,1.7308,0.5,64815,0.0225204,5.906,0.00140741,0.576983,121.392,0.213192,55.031,1.475925044,1,0.838201676,1.08,57710,4081.75,11.811,11.811
17.7165,1.7308,0.5,64815,0.0225204,5.906,0.00140741,0.576983,121.392,0.213192,56.402,1.440048777,1,0.968024158,1.08,57710,4081.75,11.811,11.811
17.7165,1.7308,0.5,64815,0.0225204,1.969,0.00422151,0.19236,121.392,0.229937,59.774,4.075740993,1,1.428047301,1.08,57710,3784.5,11.811,11.811
17.7165,1.7308,0.5,64815,0.0225204,1.969,0.00422151,0.19236,121.392,0.229937,66.473,3.664996948,1,1.919114949,1.08,57710,3784.5,11.811,11.811
11.811,1.15387,0.5,64815,0.0168903,1.969,0.00422151,0.19236,121.392,0.229937,76.454,3.186534937,1,1.799170265,1.08,57710,3784.5,11.811,11.811
17.7165,1.76477,0.63,55100,0.0268151,3.937,0.00211129,0.392171,96.507,0.180041,61.033,1.906052119,1,0.942624107,1.21,55100,3842.5,11.811,11.811
17.7165,1.76477,0.63,55100,0.0268151,3.937,0.00211129,0.392171,144.76,0.270061,59.122,1.967661429,1,0.745068157,1.21,55100,3842.5,11.811,11.811
17.7165,1.76477,0.63,55100,0.0268151,3.937,0.00211129,0.392171,144.76,0.270061,65.619,1.772841387,1,1.241780261,1.21,55100,3842.5,11.811,11.811
35.433,2.57152,0.874,79315,0.0387063,7.087,0.00190602,0.514333,180.56,0.200046,88.077,1.113938707,1,2.000959557,1.16,51475,3639.5,15.748,15.748
34.488,3.44604,0.748031,71920,0.024464,5,0.00322977,0.4996,0,0,17.81,9.071827302,1,2.963349571,1.38,50025,4640,12.008,5.984
58,3.74194,1.252,48000,0.0303,18,0.00068,1.16129,113,0.09,59.8,0.659531773,1,1,1.5,58000,3900,18,18
25.591,2.5001,0.63,55114.5,0.0268151,5.906,0.00125632,0.576983,20.232,0.0347783,41.993,1.720458034,1,1.44972842,1.02,57507,4170.2,11.811,11.811
11.811,1.70309,0.5,53795,0.0126677,0.787402,0.0118792,0.11354,66.0912,0.350079,25.3215,23.40045005,1,1.508763018,0.47,49880,3045,7.874,7.874
15.748,2.2792,0.629921,53505,0.0201063,1.9685,0.00475167,0.284901,41.1384,0.143001,22.7902,9.553295688,1,3.825565151,0.43,45820,4640,7.874,7.874
15.748,2.27935,0.511811,53650,0.0265466,1.9685,0.00475167,0.284919,41.1384,0.153044,24.8606,8.757693676,1,1.796418593,0.49,45820,4335.5,7.874,7.874
